Group 1 on team 0 has 4647 units each with 7816 hp.  Does 48 fire damage.
Group 2 on team 0 has 301 units each with 3152 hp.  Does 139 fire damage.
Group 3 on team 0 has 1508 units each with 8344 hp.  Does 85 cold damage.
Group 4 on team 0 has 2956 units each with 5021 hp.  Does 48 slashing damage.
Group 5 on team 0 has 898 units each with 11545 hp.  Does 135 cold damage.
Group 6 on team 0 has 207 units each with 6235 hp.  Does 277 slashing damage.
Group 7 on team 0 has 7550 units each with 8773 hp.  Does 46 radiation damage.
Group 8 on team 0 has 1057 units each with 3791 hp.  Does 62 bludgeoning damage.
Group 9 on team 0 has 5086 units each with 3281 hp.  Does 40 cold damage.
Group 10 on team 0 has 330 units each with 4136 hp.  Does 126 cold damage.
Group 11 on team 1 has 1755 units each with 6886 hp.  Does 6 fire damage.
Group 12 on team 1 has 2251 units each with 33109 hp.  Does 29 cold damage.
Group 13 on team 1 has 298 units each with 18689 hp.  Does 123 slashing damage.
Group 14 on team 1 has 312 units each with 15735 hp.  Does 99 cold damage.
Group 15 on team 1 has 326 units each with 16400 hp.  Does 98 radiation damage.
Group 16 on team 1 has 4365 units each with 54947 hp.  Does 22 cold damage.
Group 17 on team 1 has 1446 units each with 51571 hp.  Does 63 fire damage.
Group 18 on team 1 has 8230 units each with 12331 hp.  Does 2 fire damage.
Group 19 on team 1 has 4111 units each with 17381 hp.  Does 7 cold damage.
Group 20 on team 1 has 366 units each with 28071 hp.  Does 150 fire damage.

Round 1 beginning.
Group 15 on team 1 did 31948 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 4 on team 0 did 93888 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 71038 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12680 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 244582 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18809 cold damage to group 5 on team 0, killing 1.000000 units.
Group 12 on team 1 did 42079 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 93690 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 132960 fire damage to group 17 on team 1, killing 2.000000 units.

Round 243 beginning.
Group 9 on team 0 did 93680 cold damage to group 19 on team 1, killing 5.000000 units.
Group 17 on team 1 did 46179 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 70950 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12680 fire damage to group 3 on team 0, killing 1.000000 units.
Group 7 on team 0 did 244214 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18739 cold damage to group 9 on team 0, killing 5.000000 units.
Group 3 on team 0 did 93585 cold damage to group 18 on team 1, killing 7.000000 units.
Group 12 on team 1 did 42079 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 93285 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 132720 fire damage to group 17 on team 1, killing 2.000000 units.

Round 244 beginning.
Group 9 on team 0 did 93480 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 46053 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 93504 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 70862 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12652 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 243846 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18704 cold damage to group 4 on team 0, killing 3.000000 units.
Group 3 on team 0 did 93585 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 41963 cold damage to group 3 on team 0, killing 5.000000 units.
Group 1 on team 0 did 132480 fire damage to group 17 on team 1, killing 2.000000 units.

Round 245 beginning.
Group 9 on team 0 did 93360 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 45927 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 93360 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 70774 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12652 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 243478 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18669 cold damage to group 4 on team 0, killing 3.000000 units.
Group 12 on team 1 did 41905 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 93150 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 132240 fire damage to group 17 on team 1, killing 2.000000 units.

Round 246 beginning.
Group 17 on team 1 did 45801 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 93216 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 70686 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12638 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 243110 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18669 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 92990 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41847 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 93015 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 132000 fire damage to group 17 on team 1, killing 2.000000 units.

Round 247 beginning.
Group 9 on team 0 did 92880 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 45675 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 70598 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12610 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 242742 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18634 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 92820 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41847 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 92610 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 131760 fire damage to group 17 on team 1, killing 2.000000 units.

Round 248 beginning.
Group 9 on team 0 did 92760 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 45549 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 92832 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 70510 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12596 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 242374 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18599 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 92650 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41731 cold damage to group 4 on team 0, killing 8.000000 units.
Group 1 on team 0 did 131520 fire damage to group 17 on team 1, killing 2.000000 units.

Round 249 beginning.
Group 9 on team 0 did 92640 cold damage to group 19 on team 1, killing 5.000000 units.
Group 17 on team 1 did 45423 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 70422 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12596 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 242006 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18529 cold damage to group 9 on team 0, killing 5.000000 units.
Group 3 on team 0 did 92650 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 41673 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 92475 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 131280 fire damage to group 17 on team 1, killing 2.000000 units.

Round 250 beginning.
Group 9 on team 0 did 92440 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 45297 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 92448 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 70334 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12568 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 241638 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18494 cold damage to group 4 on team 0, killing 3.000000 units.
Group 12 on team 1 did 41673 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 92070 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 131040 fire damage to group 17 on team 1, killing 2.000000 units.

Round 251 beginning.
Group 9 on team 0 did 92320 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 45171 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 70246 cold damage to group 7 on team 0, killing 8.000000 units.
Group 18 on team 1 did 12568 fire damage to group 4 on team 0, killing 2.000000 units.
Group 7 on team 0 did 241270 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18494 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 92140 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41557 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 92070 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 130800 fire damage to group 17 on team 1, killing 2.000000 units.

Round 252 beginning.
Group 17 on team 1 did 45045 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 92208 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 70158 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12554 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 240948 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18459 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 91970 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41499 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 91935 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 130560 fire damage to group 17 on team 1, killing 2.000000 units.

Round 253 beginning.
Group 9 on team 0 did 91840 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 44919 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 70070 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12526 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 240626 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18424 cold damage to group 5 on team 0, killing 1.000000 units.
Group 3 on team 0 did 91970 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 41441 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 91800 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 130320 fire damage to group 17 on team 1, killing 2.000000 units.

Round 254 beginning.
Group 9 on team 0 did 91720 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 44793 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 91824 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 69982 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12512 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 240304 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18389 cold damage to group 5 on team 0, killing 1.000000 units.
Group 12 on team 1 did 41383 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 91665 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 130080 fire damage to group 17 on team 1, killing 2.000000 units.

Round 255 beginning.
Group 9 on team 0 did 91600 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 44667 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69894 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12498 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 239982 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18354 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 91460 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41383 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 91260 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 129840 fire damage to group 17 on team 1, killing 2.000000 units.

Round 256 beginning.
Group 9 on team 0 did 91480 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 44541 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69806 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12498 fire damage to group 4 on team 0, killing 2.000000 units.
Group 7 on team 0 did 239660 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18319 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 91290 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41267 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 91260 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 129600 fire damage to group 17 on team 1, killing 2.000000 units.

Round 257 beginning.
Group 17 on team 1 did 44415 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 91344 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 69718 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12484 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 239338 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18284 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 91120 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41209 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 91125 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 129360 fire damage to group 17 on team 1, killing 2.000000 units.

Round 258 beginning.
Group 9 on team 0 did 91000 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 44289 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69630 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12456 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 239016 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18249 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 90950 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41209 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 90720 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 129120 fire damage to group 17 on team 1, killing 2.000000 units.

Round 259 beginning.
Group 9 on team 0 did 90880 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 44163 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 90960 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 69542 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12442 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 238694 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18214 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 90780 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 41093 cold damage to group 4 on team 0, killing 8.000000 units.
Group 1 on team 0 did 128880 fire damage to group 17 on team 1, killing 2.000000 units.

Round 260 beginning.
Group 9 on team 0 did 90760 cold damage to group 19 on team 1, killing 5.000000 units.
Group 17 on team 1 did 44037 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69454 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12442 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 238372 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18144 cold damage to group 9 on team 0, killing 5.000000 units.
Group 3 on team 0 did 90780 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 41035 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 90585 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 128640 fire damage to group 17 on team 1, killing 2.000000 units.

Round 261 beginning.
Group 9 on team 0 did 90560 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 43911 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 90576 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 69366 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12414 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 238050 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18109 cold damage to group 4 on team 0, killing 3.000000 units.
Group 12 on team 1 did 41035 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 90180 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 128400 fire damage to group 17 on team 1, killing 2.000000 units.

Round 262 beginning.
Group 9 on team 0 did 90440 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 43785 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69278 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12414 fire damage to group 4 on team 0, killing 2.000000 units.
Group 7 on team 0 did 237728 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18109 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 90270 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40919 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 90180 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 128160 fire damage to group 17 on team 1, killing 2.000000 units.

Round 263 beginning.
Group 17 on team 1 did 43659 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 90336 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 69190 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12400 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 237406 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18074 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 90100 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40861 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 90045 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 127920 fire damage to group 17 on team 1, killing 2.000000 units.

Round 264 beginning.
Group 9 on team 0 did 89960 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 43533 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 69102 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12372 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 237084 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18039 cold damage to group 5 on team 0, killing 1.000000 units.
Group 3 on team 0 did 90100 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 40803 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 89910 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 127680 fire damage to group 17 on team 1, killing 2.000000 units.

Round 265 beginning.
Group 9 on team 0 did 89840 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 43407 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 89952 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 69014 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12358 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 236762 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 18004 cold damage to group 5 on team 0, killing 1.000000 units.
Group 12 on team 1 did 40745 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 89775 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 127440 fire damage to group 17 on team 1, killing 2.000000 units.

Round 266 beginning.
Group 9 on team 0 did 89720 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 43281 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 68926 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12344 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 236440 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17969 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 89590 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40745 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 89370 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 127200 fire damage to group 17 on team 1, killing 2.000000 units.

Round 267 beginning.
Group 9 on team 0 did 89600 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 43155 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 68838 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12344 fire damage to group 4 on team 0, killing 2.000000 units.
Group 7 on team 0 did 236118 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17934 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 89420 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40629 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 89370 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 126960 fire damage to group 17 on team 1, killing 2.000000 units.

Round 268 beginning.
Group 17 on team 1 did 43029 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 89472 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 68750 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12330 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 235796 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17899 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 89250 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40571 cold damage to group 4 on team 0, killing 8.000000 units.
Group 5 on team 0 did 89235 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 126720 fire damage to group 17 on team 1, killing 2.000000 units.

Round 269 beginning.
Group 9 on team 0 did 89120 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 42903 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 68662 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12302 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 235474 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17864 cold damage to group 5 on team 0, killing 1.000000 units.
Group 3 on team 0 did 89250 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 40513 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 89100 cold damage to group 19 on team 1, killing 5.000000 units.
Group 1 on team 0 did 126480 fire damage to group 17 on team 1, killing 2.000000 units.

Round 270 beginning.
Group 9 on team 0 did 89000 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 42777 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 89088 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 68574 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12288 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 235152 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17794 cold damage to group 4 on team 0, killing 3.000000 units.
Group 12 on team 1 did 40513 cold damage to group 5 on team 0, killing 3.000000 units.
Group 5 on team 0 did 88695 cold damage to group 12 on team 1, killing 2.000000 units.
Group 1 on team 0 did 126240 fire damage to group 17 on team 1, killing 2.000000 units.

Round 271 beginning.
Group 9 on team 0 did 88880 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 42651 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 88944 slashing damage to group 12 on team 1, killing 2.000000 units.
Group 16 on team 1 did 68486 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12274 fire damage to group 9 on team 0, killing 3.000000 units.
Group 7 on team 0 did 234830 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17794 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 88740 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40397 cold damage to group 4 on team 0, killing 8.000000 units.
Group 1 on team 0 did 126000 fire damage to group 17 on team 1, killing 2.000000 units.

Round 272 beginning.
Group 9 on team 0 did 88760 cold damage to group 12 on team 1, killing 2.000000 units.
Group 17 on team 1 did 42525 fire damage to group 1 on team 0, killing 5.000000 units.
Group 16 on team 1 did 68398 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12274 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 234508 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17759 cold damage to group 3 on team 0, killing 2.000000 units.
Group 3 on team 0 did 88570 cold damage to group 19 on team 1, killing 5.000000 units.
Group 12 on team 1 did 40339 cold damage to group 9 on team 0, killing 12.000000 units.
Group 5 on team 0 did 88560 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 125760 fire damage to group 17 on team 1, killing 2.000000 units.

Round 273 beginning.
Group 17 on team 1 did 42399 fire damage to group 1 on team 0, killing 5.000000 units.
Group 4 on team 0 did 88560 slashing damage to group 19 on team 1, killing 5.000000 units.
Group 16 on team 1 did 68310 cold damage to group 7 on team 0, killing 7.000000 units.
Group 18 on team 1 did 12260 fire damage to group 5 on team 0, killing 1.000000 units.
Group 7 on team 0 did 234186 radiation damage to group 16 on team 1, killing 4.000000 units.
Group 19 on team 1 did 17689 cold damage to group 4 on team 0, killing 3.000000 units.
Group 3 on team 0 did 88570 cold damage to group 12 on team 1, killing 2.000000 units.
Group 12 on team 1 did 40281 cold damage to group 3 on team 0, killing 4.000000 units.
Group 5 on team 0 did 88425 cold damage to group 18 on team 1, killing 7.000000 units.
Group 1 on team 0 did 125520 fire damage to group 17 on team 1, killing 2.000000 units.

Round 274 beginning.
Group 9 on team 0 did 88280 cold damage to group 18 on team 1, killing 7.000000 units.
Group 17 on team 1 did 42273 fire damage to group 1 on team 0, killing 5.000000 units.
